Value_Code,Value,Symbol,Dielectric,Voltage,Tolerance,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
392,3.9nF,C0603NPOJ50V_3.9nF,NPO/COG,50V,5%,Murata,GRM1885C1H392JA01D,Kemet,C0603C392J3GACTU,Yageo,CC0603JRNPO9BN392
472,4.7nF,C0603NPOJ50V_4.7nF,NPO/COG,50V,5%,Murata,GRM1885C1H472JA01D,Kemet,C0603C472J3GACTU,Yageo,CC0603JRNPO9BN472
562,5.6nF,C0603NPOJ50V_5.6nF,NPO/COG,50V,5%,Murata,GRM1885C1H562JA01D,Kemet,C0603C562J3GACTU,Yageo,CC0603JRNPO9BN562
682,6.8nF,C0603NPOJ50V_6.8nF,NPO/COG,50V,5%,Murata,GRM1885C1H682JA01D,Kemet,C0603C682J3GACTU,Yageo,CC0603JRNPO9BN682
822,8.2nF,C0603NPOJ50V_8.2nF,NPO/COG,50V,5%,Murata,GRM1885C1H822JA01D,,,,
103,10nF,C0603NPOJ50V_10nF,NPO/COG,50V,5%,Murata,GRM1885C1H103JA01D,,,Yageo,CC0603JRNPO9BN103
102,1nF,C0603X7RK25V_1nF,X7R,25V,10%,Murata,GRM033R71E102KA01D,Kemet,C0603C102K3RACTU,Yageo,CC0603KRX7R8BB102
122,1.2nF,C0603X7RK25V_1.2nF,X7R,25V,10%,Murata,GRM033R71E122KA01D,Kemet,C0603C122K3RACTU,Yageo,CC0603KRX7R8BB122
152,1.5nF,C0603X7RK25V_1.5nF,X7R,25V,10%,Murata,GRM033R71E152KA01D,Kemet,C0603C152K3RACTU,Yageo,CC0603KRX7R8BB152
182,1.8nF,C0603X7RK25V_1.8nF,X7R,25V,10%,Murata,GRM033R71E182KA01D,Kemet,C0603C182K3RACTU,Yageo,CC0603KRX7R8BB182
222,2.2nF,C0603X7RK25V_2.2nF,X7R,25V,10%,Murata,GRM033R71E222KA01D,Kemet,C0603C222K3RACTU,Yageo,CC0603KRX7R8BB222
272,2.7nF,C0603X7RK_2.7nF,X7R,,,,,Kemet,C0603C272K3RACTU,Yageo,CC0603KRX7R8BB272
332,3.3nF,C0603X7RK25V_3.3nF,X7R,25V,10%,Murata,GRM033R71E332KA01D,Kemet,C0603C332K3RACTU,Yageo,CC0603KRX7R8BB332
392,3.9nF,C0603X7RK25V_3.9nF,X7R,25V,10%,,,Kemet,C0603C392K3RACTU,Yageo,CC0603KRX7R8BB392
472,4.7nF,C0603X7RK25V_4.7nF,X7R,25V,10%,Murata,GRM033R71E472KA01D,Kemet,C0603C472K3RACTU,Yageo,CC0603KRX7R8BB472
562,5.6nF,C0603X7RK25V_5.6nF,X7R,25V,10%,Murata,GRM033R71E562KA01D,Kemet,C0603C562K3RACTU,Yageo,CC0603KRX7R8BB562
682,6.8nF,C0603X7RK25V_6.8nF,X7R,25V,10%,Murata,GRM033R71E682KA01D,Kemet,C0603C682K3RACTU,Yageo,CC0603KRX7R8BB682
822,8.2nF,C0603X7RK25V_8.2nF,X7R,25V,10%,Murata,GRM033R71E822KA01D,Kemet,C0603C822K3RACTU,Yageo,CC0603KRX7R8BB822
103,10nF,C0603X7RK25V_10nF,X7R,25V,10%,Murata,GRM033R71E103KA01D,Kemet,C0603C103K3RACTU,Yageo,CC0603KRX7R8BB103
123,12nF,C0603X7RK25V_12nF,X7R,25V,10%,,,Kemet,C0603C123K3RACTU,Yageo,CC0603KRX7R8BB123
153,15nF,C0603X7RK25V_15nF,X7R,25V,10%,,,Kemet,C0603C153K3RACTU,Yageo,CC0603KRX7R8BB153
183,18nF,C0603X7RK25V_18nF,X7R,25V,10%,,,Kemet,C0603C183K3RACTU,Yageo,CC0603KRX7R8BB183
223,22nF,C0603X7RK25V_22nF,X7R,25V,10%,,,Kemet,C0603C223K3RACTU,Yageo,CC0603KRX7R8BB223
273,27nF,C0603X7RK25V_27nF,X7R,25V,10%,,,Kemet,C0603C273K3RACTU,Yageo,CC0603KRX7R8BB273
333,33nF,C0603X7RK25V_33nF,X7R,25V,10%,,,Kemet,C0603C333K3RACTU,Yageo,CC0603KRX7R8BB333
393,39nF,C0603X7RK25V_39nF,X7R,25V,10%,,,Kemet,C0603C393K3RACTU,Yageo,CC0603KRX7R8BB393
473,47nF,C0603X7RK25V_47nF,X7R,25V,10%,,,Kemet,C0603C473K3RACTU,Yageo,CC0603KRX7R8BB473
563,56nF,C0603X7RK25V_56nF,X7R,25V,10%,,,Kemet,C0603C563K3RACTU,Yageo,CC0603KRX7R8BB563
683,68nF,C0603X7RK25V_68nF,X7R,25V,10%,,,Kemet,C0603C683K3RACTU,Yageo,CC0603KRX7R8BB683
823,82nF,C0603X7RK25V_82nF,X7R,25V,10%,,,Kemet,C0603C823K3RACTU,Yageo,CC0603KRX7R8BB823
104,100nF,C0603X7RK25V_100nF,X7R,25V,10%,,,Kemet,C0603C104K3RACTU,Yageo,CC0603KRX7R8BB104
124,120nF,C0603X7RK25V_120nF,X7R,25V,10%,,,Kemet,C0603C124K3RACTU,Yageo,CC0603KRX7R8BB124
154,150nF,C0603X7RK25V_150nF,X7R,25V,10%,,,Kemet,C0603C154K3RACTU,Yageo,CC0603KRX7R8BB154
184,180nF,C0603X7RK25V_180nF,X7R,25V,10%,,,Kemet,C0603C184K3RACTU,Yageo,CC0603KRX7R8BB184
224,220nF,C0603X7RK25V_220nF,X7R,25V,10%,,,Kemet,C0603C224K3RACTU,Yageo,CC0603KRX7R8BB224
274,270nF,C0603X7RK25V_270nF,X7R,25V,10%,,,Kemet,C0603C274K3RACTU,Yageo,CC0603KRX7R8BB274
334,330nF,C0603X7RK25V_330nF,X7R,25V,10%,,,Kemet,C0603C334K3RACTU,Yageo,CC0603KRX7R8BB334
394,390nF,C0603X7RK25V_390nF,X7R,25V,10%,,,Kemet,C0603C394K3RACTU,Yageo,CC0603KRX7R8BB394
474,470nF,C0603X7RK25V_470nF,X7R,25V,10%,,,Kemet,C0603C474K3RACTU,Yageo,CC0603KRX7R8BB474
564,560nF,C0603X7RK25V_560nF,X7R,25V,10%,,,Kemet,C0603C564K3RACTU,Yageo,CC0603KRX7R8BB564
684,680nF,C0603X7RK25V_680nF,X7R,25V,10%,,,Kemet,C0603C684K3RACTU,Yageo,CC0603KRX7R8BB684
824,820nF,C0603X7RK25V_820nF,X7R,25V,10%,,,Kemet,C0603C824K3RACTU,Yageo,CC0603KRX7R8BB824
105,1uF,C0603X7RK25V_1uF,X7R,25V,10%,,,Kemet,C0603C105K3RACTU,Yageo,CC0603KRX7R8BB105
