1.00%,Tolerance,,,,,,
Value,Description,MFG #1,P/N #1,MFG #2,P/N #2,MFG #3,P/N #3
3R01,"Res, 3R01 Ohm, 2R94, 50mW, R0201",Yageo,RC0100FR-073R01L,Panasonic,ERJ-1GMF3R01C,Koa-Speer,RK73H1HTTC3R01F
3R09,"Res, 3R09 Ohm, 3R01, 50mW, R0201",Yageo,RC0100FR-073R09L,Panasonic,ERJ-1GMF3R09C,Koa-Speer,RK73H1HTTC3R09F
3R16,"Res, 3R16 Ohm, 3R09, 50mW, R0201",Yageo,RC0100FR-073R16L,Panasonic,ERJ-1GMF3R16C,Koa-Speer,RK73H1HTTC3R16F
3R24,"Res, 3R24 Ohm, 3R16, 50mW, R0201",Yageo,RC0100FR-073R24L,Panasonic,ERJ-1GMF3R24C,Koa-Speer,RK73H1HTTC3R24F
3R32,"Res, 3R32 Ohm, 3R24, 50mW, R0201",Yageo,RC0100FR-073R32L,Panasonic,ERJ-1GMF3R32C,Koa-Speer,RK73H1HTTC3R32F
3R4,"Res, 3R4 Ohm, 3R32, 50mW, R0201",Yageo,RC0100FR-073R4L,Panasonic,ERJ-1GMF3R40C,Koa-Speer,RK73H1HTTC3R40F
3R48,"Res, 3R48 Ohm, 3R4, 50mW, R0201",Yageo,RC0100FR-073R48L,Panasonic,ERJ-1GMF3R48C,Koa-Speer,RK73H1HTTC3R48F
3R57,"Res, 3R57 Ohm, 3R48, 50mW, R0201",Yageo,RC0100FR-073R57L,Panasonic,ERJ-1GMF3R57C,Koa-Speer,RK73H1HTTC3R57F
3R65,"Res, 3R65 Ohm, 3R57, 50mW, R0201",Yageo,RC0100FR-073R65L,Panasonic,ERJ-1GMF3R65C,Koa-Speer,RK73H1HTTC3R65F
3R74,"Res, 3R74 Ohm, 3R65, 50mW, R0201",Yageo,RC0100FR-073R74L,Panasonic,ERJ-1GMF3R74C,Koa-Speer,RK73H1HTTC3R74F
3R83,"Res, 3R83 Ohm, 3R74, 50mW, R0201",Yageo,RC0100FR-073R83L,Panasonic,ERJ-1GMF3R83C,Koa-Speer,RK73H1HTTC3R83F
3R92,"Res, 3R92 Ohm, 3R83, 50mW, R0201",Yageo,RC0100FR-073R92L,Panasonic,ERJ-1GMF3R92C,Koa-Speer,RK73H1HTTC3R92F
4R02,"Res, 4R02 Ohm, 3R92, 50mW, R0201",Yageo,RC0100FR-074R02L,Panasonic,ERJ-1GMF4R02C,Koa-Speer,RK73H1HTTC4R02F
4R12,"Res, 4R12 Ohm, 4R02, 50mW, R0201",Yageo,RC0100FR-074R12L,Panasonic,ERJ-1GMF4R12C,Koa-Speer,RK73H1HTTC4R12F
4R22,"Res, 4R22 Ohm, 4R12, 50mW, R0201",Yageo,RC0100FR-074R22L,Panasonic,ERJ-1GMF4R22C,Koa-Speer,RK73H1HTTC4R22F
4R32,"Res, 4R32 Ohm, 4R22, 50mW, R0201",Yageo,RC0100FR-074R32L,Panasonic,ERJ-1GMF4R32C,Koa-Speer,RK73H1HTTC4R32F
4R42,"Res, 4R42 Ohm, 4R32, 50mW, R0201",Yageo,RC0100FR-074R42L,Panasonic,ERJ-1GMF4R42C,Koa-Speer,RK73H1HTTC4R42F
4R53,"Res, 4R53 Ohm, 4R42, 50mW, R0201",Yageo,RC0100FR-074R53L,Panasonic,ERJ-1GMF4R53C,Koa-Speer,RK73H1HTTC4R53F
4R64,"Res, 4R64 Ohm, 4R53, 50mW, R0201",Yageo,RC0100FR-074R64L,Panasonic,ERJ-1GMF4R64C,Koa-Speer,RK73H1HTTC4R64F
4R75,"Res, 4R75 Ohm, 4R64, 50mW, R0201",Yageo,RC0100FR-074R75L,Panasonic,ERJ-1GMF4R75C,Koa-Speer,RK73H1HTTC4R75F
4R87,"Res, 4R87 Ohm, 4R75, 50mW, R0201",Yageo,RC0100FR-074R87L,Panasonic,ERJ-1GMF4R87C,Koa-Speer,RK73H1HTTC4R87F
4R99,"Res, 4R99 Ohm, 4R87, 50mW, R0201",Yageo,RC0100FR-074R99L,Panasonic,ERJ-1GMF4R99C,Koa-Speer,RK73H1HTTC4R99F
5R11,"Res, 5R11 Ohm, 4R99, 50mW, R0201",Yageo,RC0100FR-075R11L,Panasonic,ERJ-1GMF5R11C,Koa-Speer,RK73H1HTTC5R11F
5R23,"Res, 5R23 Ohm, 5R11, 50mW, R0201",Yageo,RC0100FR-075R23L,Panasonic,ERJ-1GMF5R23C,Koa-Speer,RK73H1HTTC5R23F
5R36,"Res, 5R36 Ohm, 5R23, 50mW, R0201",Yageo,RC0100FR-075R36L,Panasonic,ERJ-1GMF5R36C,Koa-Speer,RK73H1HTTC5R36F
5R49,"Res, 5R49 Ohm, 5R36, 50mW, R0201",Yageo,RC0100FR-075R49L,Panasonic,ERJ-1GMF5R49C,Koa-Speer,RK73H1HTTC5R49F
5R62,"Res, 5R62 Ohm, 5R49, 50mW, R0201",Yageo,RC0100FR-075R62L,Panasonic,ERJ-1GMF5R62C,Koa-Speer,RK73H1HTTC5R62F
5R76,"Res, 5R76 Ohm, 5R62, 50mW, R0201",Yageo,RC0100FR-075R76L,Panasonic,ERJ-1GMF5R76C,Koa-Speer,RK73H1HTTC5R76F
5R9,"Res, 5R9 Ohm, 5R76, 50mW, R0201",Yageo,RC0100FR-075R9L,Panasonic,ERJ-1GMF5R90C,Koa-Speer,RK73H1HTTC5R90F
6R04,"Res, 6R04 Ohm, 5R9, 50mW, R0201",Yageo,RC0100FR-076R04L,Panasonic,ERJ-1GMF6R04C,Koa-Speer,RK73H1HTTC6R04F
6R19,"Res, 6R19 Ohm, 6R04, 50mW, R0201",Yageo,RC0100FR-076R19L,Panasonic,ERJ-1GMF6R19C,Koa-Speer,RK73H1HTTC6R19F
6R34,"Res, 6R34 Ohm, 6R19, 50mW, R0201",Yageo,RC0100FR-076R34L,Panasonic,ERJ-1GMF6R34C,Koa-Speer,RK73H1HTTC6R34F
6R49,"Res, 6R49 Ohm, 6R34, 50mW, R0201",Yageo,RC0100FR-076R49L,Panasonic,ERJ-1GMF6R49C,Koa-Speer,RK73H1HTTC6R49F
6R65,"Res, 6R65 Ohm, 6R49, 50mW, R0201",Yageo,RC0100FR-076R65L,Panasonic,ERJ-1GMF6R65C,Koa-Speer,RK73H1HTTC6R65F
6R81,"Res, 6R81 Ohm, 6R65, 50mW, R0201",Yageo,RC0100FR-076R81L,Panasonic,ERJ-1GMF6R81C,Koa-Speer,RK73H1HTTC6R81F
6R98,"Res, 6R98 Ohm, 6R81, 50mW, R0201",Yageo,RC0100FR-076R98L,Panasonic,ERJ-1GMF6R98C,Koa-Speer,RK73H1HTTC6R98F
7R15,"Res, 7R15 Ohm, 6R98, 50mW, R0201",Yageo,RC0100FR-077R15L,Panasonic,ERJ-1GMF7R15C,Koa-Speer,RK73H1HTTC7R15F
7R32,"Res, 7R32 Ohm, 7R15, 50mW, R0201",Yageo,RC0100FR-077R32L,Panasonic,ERJ-1GMF7R32C,Koa-Speer,RK73H1HTTC7R32F
7R5,"Res, 7R5 Ohm, 7R32, 50mW, R0201",Yageo,RC0100FR-077R5L,Panasonic,ERJ-1GMF7R50C,Koa-Speer,RK73H1HTTC7R50F
7R68,"Res, 7R68 Ohm, 7R5, 50mW, R0201",Yageo,RC0100FR-077R68L,Panasonic,ERJ-1GMF7R68C,Koa-Speer,RK73H1HTTC7R68F
7R87,"Res, 7R87 Ohm, 7R68, 50mW, R0201",Yageo,RC0100FR-077R87L,Panasonic,ERJ-1GMF7R87C,Koa-Speer,RK73H1HTTC7R87F
8R06,"Res, 8R06 Ohm, 7R87, 50mW, R0201",Yageo,RC0100FR-078R06L,Panasonic,ERJ-1GMF8R06C,Koa-Speer,RK73H1HTTC8R06F
8R25,"Res, 8R25 Ohm, 8R06, 50mW, R0201",Yageo,RC0100FR-078R25L,Panasonic,ERJ-1GMF8R25C,Koa-Speer,RK73H1HTTC8R25F
8R45,"Res, 8R45 Ohm, 8R25, 50mW, R0201",Yageo,RC0100FR-078R45L,Panasonic,ERJ-1GMF8R45C,Koa-Speer,RK73H1HTTC8R45F
8R66,"Res, 8R66 Ohm, 8R45, 50mW, R0201",Yageo,RC0100FR-078R66L,Panasonic,ERJ-1GMF8R66C,Koa-Speer,RK73H1HTTC8R66F
8R87,"Res, 8R87 Ohm, 8R66, 50mW, R0201",Yageo,RC0100FR-078R87L,Panasonic,ERJ-1GMF8R87C,Koa-Speer,RK73H1HTTC8R87F
9R09,"Res, 9R09 Ohm, 8R87, 50mW, R0201",Yageo,RC0100FR-079R09L,Panasonic,ERJ-1GMF9R09C,Koa-Speer,RK73H1HTTC9R09F
9R31,"Res, 9R31 Ohm, 9R09, 50mW, R0201",Yageo,RC0100FR-079R31L,Panasonic,ERJ-1GMF9R31C,Koa-Speer,RK73H1HTTC9R31F
9R53,"Res, 9R53 Ohm, 9R31, 50mW, R0201",Yageo,RC0100FR-079R53L,Panasonic,ERJ-1GMF9R53C,Koa-Speer,RK73H1HTTC9R53F
9R76,"Res, 9R76 Ohm, 9R53, 50mW, R0201",Yageo,RC0100FR-079R76L,Panasonic,ERJ-1GMF9R76C,Koa-Speer,RK73H1HTTC9R76F
10R,"Res, 10R Ohm, 9R76, 50mW, R0201",Yageo,RC0100FR-0710RL,Panasonic,ERJ-1GMF10R0C,Koa-Speer,RK73H1HTTC10R0F
10R2,"Res, 10R2 Ohm, 10R, 50mW, R0201",Yageo,RC0100FR-0710R2L,Panasonic,ERJ-1GMF10R2C,Koa-Speer,RK73H1HTTC10R2F
10R5,"Res, 10R5 Ohm, 10R2, 50mW, R0201",Yageo,RC0100FR-0710R5L,Panasonic,ERJ-1GMF10R5C,Koa-Speer,RK73H1HTTC10R5F
10R7,"Res, 10R7 Ohm, 10R5, 50mW, R0201",Yageo,RC0100FR-0710R7L,Panasonic,ERJ-1GMF10R7C,Koa-Speer,RK73H1HTTC10R7F
11R,"Res, 11R Ohm, 10R7, 50mW, R0201",Yageo,RC0100FR-0711RL,Panasonic,ERJ-1GMF11R0C,Koa-Speer,RK73H1HTTC11R0F
11R3,"Res, 11R3 Ohm, 11R, 50mW, R0201",Yageo,RC0100FR-0711R3L,Panasonic,ERJ-1GMF11R3C,Koa-Speer,RK73H1HTTC11R3F
11R5,"Res, 11R5 Ohm, 11R3, 50mW, R0201",Yageo,RC0100FR-0711R5L,Panasonic,ERJ-1GMF11R5C,Koa-Speer,RK73H1HTTC11R5F
11R8,"Res, 11R8 Ohm, 11R5, 50mW, R0201",Yageo,RC0100FR-0711R8L,Panasonic,ERJ-1GMF11R8C,Koa-Speer,RK73H1HTTC11R8F
12R1,"Res, 12R1 Ohm, 11R8, 50mW, R0201",Yageo,RC0100FR-0712R1L,Panasonic,ERJ-1GMF12R1C,Koa-Speer,RK73H1HTTC12R1F
12R4,"Res, 12R4 Ohm, 12R1, 50mW, R0201",Yageo,RC0100FR-0712R4L,Panasonic,ERJ-1GMF12R4C,Koa-Speer,RK73H1HTTC12R4F
12R7,"Res, 12R7 Ohm, 12R4, 50mW, R0201",Yageo,RC0100FR-0712R7L,Panasonic,ERJ-1GMF12R7C,Koa-Speer,RK73H1HTTC12R7F
13R,"Res, 13R Ohm, 12R7, 50mW, R0201",Yageo,RC0100FR-0713RL,Panasonic,ERJ-1GMF13R0C,Koa-Speer,RK73H1HTTC13R0F
13R3,"Res, 13R3 Ohm, 13R, 50mW, R0201",Yageo,RC0100FR-0713R3L,Panasonic,ERJ-1GMF13R3C,Koa-Speer,RK73H1HTTC13R3F
13R7,"Res, 13R7 Ohm, 13R3, 50mW, R0201",Yageo,RC0100FR-0713R7L,Panasonic,ERJ-1GMF13R7C,Koa-Speer,RK73H1HTTC13R7F
14R,"Res, 14R Ohm, 13R7, 50mW, R0201",Yageo,RC0100FR-0714RL,Panasonic,ERJ-1GMF14R0C,Koa-Speer,RK73H1HTTC14R0F
14R3,"Res, 14R3 Ohm, 14R, 50mW, R0201",Yageo,RC0100FR-0714R3L,Panasonic,ERJ-1GMF14R3C,Koa-Speer,RK73H1HTTC14R3F
14R7,"Res, 14R7 Ohm, 14R3, 50mW, R0201",Yageo,RC0100FR-0714R7L,Panasonic,ERJ-1GMF14R7C,Koa-Speer,RK73H1HTTC14R7F
15R,"Res, 15R Ohm, 14R7, 50mW, R0201",Yageo,RC0100FR-0715RL,Panasonic,ERJ-1GMF15R0C,Koa-Speer,RK73H1HTTC15R0F
15R4,"Res, 15R4 Ohm, 15R, 50mW, R0201",Yageo,RC0100FR-0715R4L,Panasonic,ERJ-1GMF15R4C,Koa-Speer,RK73H1HTTC15R4F
15R8,"Res, 15R8 Ohm, 15R4, 50mW, R0201",Yageo,RC0100FR-0715R8L,Panasonic,ERJ-1GMF15R8C,Koa-Speer,RK73H1HTTC15R8F
16R2,"Res, 16R2 Ohm, 15R8, 50mW, R0201",Yageo,RC0100FR-0716R2L,Panasonic,ERJ-1GMF16R2C,Koa-Speer,RK73H1HTTC16R2F
16R5,"Res, 16R5 Ohm, 16R2, 50mW, R0201",Yageo,RC0100FR-0716R5L,Panasonic,ERJ-1GMF16R5C,Koa-Speer,RK73H1HTTC16R5F
16R9,"Res, 16R9 Ohm, 16R5, 50mW, R0201",Yageo,RC0100FR-0716R9L,Panasonic,ERJ-1GMF16R9C,Koa-Speer,RK73H1HTTC16R9F
17R4,"Res, 17R4 Ohm, 16R9, 50mW, R0201",Yageo,RC0100FR-0717R4L,Panasonic,ERJ-1GMF17R4C,Koa-Speer,RK73H1HTTC17R4F
17R8,"Res, 17R8 Ohm, 17R4, 50mW, R0201",Yageo,RC0100FR-0717R8L,Panasonic,ERJ-1GMF17R8C,Koa-Speer,RK73H1HTTC17R8F
18R2,"Res, 18R2 Ohm, 17R8, 50mW, R0201",Yageo,RC0100FR-0718R2L,Panasonic,ERJ-1GMF18R2C,Koa-Speer,RK73H1HTTC18R2F
18R7,"Res, 18R7 Ohm, 18R2, 50mW, R0201",Yageo,RC0100FR-0718R7L,Panasonic,ERJ-1GMF18R7C,Koa-Speer,RK73H1HTTC18R7F
19R1,"Res, 19R1 Ohm, 18R7, 50mW, R0201",Yageo,RC0100FR-0719R1L,Panasonic,ERJ-1GMF19R1C,Koa-Speer,RK73H1HTTC19R1F
19R6,"Res, 19R6 Ohm, 19R1, 50mW, R0201",Yageo,RC0100FR-0719R6L,Panasonic,ERJ-1GMF19R6C,Koa-Speer,RK73H1HTTC19R6F
20R,"Res, 20R Ohm, 19R6, 50mW, R0201",Yageo,RC0100FR-0720RL,Panasonic,ERJ-1GMF20R0C,Koa-Speer,RK73H1HTTC20R0F
20R5,"Res, 20R5 Ohm, 20R, 50mW, R0201",Yageo,RC0100FR-0720R5L,Panasonic,ERJ-1GMF20R5C,Koa-Speer,RK73H1HTTC20R5F
21R,"Res, 21R Ohm, 20R5, 50mW, R0201",Yageo,RC0100FR-0721RL,Panasonic,ERJ-1GMF21R0C,Koa-Speer,RK73H1HTTC21R0F
21R5,"Res, 21R5 Ohm, 21R, 50mW, R0201",Yageo,RC0100FR-0721R5L,Panasonic,ERJ-1GMF21R5C,Koa-Speer,RK73H1HTTC21R5F
22R1,"Res, 22R1 Ohm, 21R5, 50mW, R0201",Yageo,RC0100FR-0722R1L,Panasonic,ERJ-1GMF22R1C,Koa-Speer,RK73H1HTTC22R1F
22R6,"Res, 22R6 Ohm, 22R1, 50mW, R0201",Yageo,RC0100FR-0722R6L,Panasonic,ERJ-1GMF22R6C,Koa-Speer,RK73H1HTTC22R6F
23R2,"Res, 23R2 Ohm, 22R6, 50mW, R0201",Yageo,RC0100FR-0723R2L,Panasonic,ERJ-1GMF23R2C,Koa-Speer,RK73H1HTTC23R2F
23R7,"Res, 23R7 Ohm, 23R2, 50mW, R0201",Yageo,RC0100FR-0723R7L,Panasonic,ERJ-1GMF23R7C,Koa-Speer,RK73H1HTTC23R7F
24R3,"Res, 24R3 Ohm, 23R7, 50mW, R0201",Yageo,RC0100FR-0724R3L,Panasonic,ERJ-1GMF24R3C,Koa-Speer,RK73H1HTTC24R3F
24R9,"Res, 24R9 Ohm, 24R3, 50mW, R0201",Yageo,RC0100FR-0724R9L,Panasonic,ERJ-1GMF24R9C,Koa-Speer,RK73H1HTTC24R9F
25R5,"Res, 25R5 Ohm, 24R9, 50mW, R0201",Yageo,RC0100FR-0725R5L,Panasonic,ERJ-1GMF25R5C,Koa-Speer,RK73H1HTTC25R5F
26R1,"Res, 26R1 Ohm, 25R5, 50mW, R0201",Yageo,RC0100FR-0726R1L,Panasonic,ERJ-1GMF26R1C,Koa-Speer,RK73H1HTTC26R1F
26R7,"Res, 26R7 Ohm, 26R1, 50mW, R0201",Yageo,RC0100FR-0726R7L,Panasonic,ERJ-1GMF26R7C,Koa-Speer,RK73H1HTTC26R7F
27R4,"Res, 27R4 Ohm, 26R7, 50mW, R0201",Yageo,RC0100FR-0727R4L,Panasonic,ERJ-1GMF27R4C,Koa-Speer,RK73H1HTTC27R4F
28R,"Res, 28R Ohm, 27R4, 50mW, R0201",Yageo,RC0100FR-0728RL,Panasonic,ERJ-1GMF28R0C,Koa-Speer,RK73H1HTTC28R0F
28R7,"Res, 28R7 Ohm, 28R, 50mW, R0201",Yageo,RC0100FR-0728R7L,Panasonic,ERJ-1GMF28R7C,Koa-Speer,RK73H1HTTC28R7F
29R4,"Res, 29R4 Ohm, 28R7, 50mW, R0201",Yageo,RC0100FR-0729R4L,Panasonic,ERJ-1GMF29R4C,Koa-Speer,RK73H1HTTC29R4F
30R1,"Res, 30R1 Ohm, 29R4, 50mW, R0201",Yageo,RC0100FR-0730R1L,Panasonic,ERJ-1GMF30R1C,Koa-Speer,RK73H1HTTC30R1F
30R9,"Res, 30R9 Ohm, 30R1, 50mW, R0201",Yageo,RC0100FR-0730R9L,Panasonic,ERJ-1GMF30R9C,Koa-Speer,RK73H1HTTC30R9F
31R6,"Res, 31R6 Ohm, 30R9, 50mW, R0201",Yageo,RC0100FR-0731R6L,Panasonic,ERJ-1GMF31R6C,Koa-Speer,RK73H1HTTC31R6F
32R4,"Res, 32R4 Ohm, 31R6, 50mW, R0201",Yageo,RC0100FR-0732R4L,Panasonic,ERJ-1GMF32R4C,Koa-Speer,RK73H1HTTC32R4F
33R2,"Res, 33R2 Ohm, 32R4, 50mW, R0201",Yageo,RC0100FR-0733R2L,Panasonic,ERJ-1GMF33R2C,Koa-Speer,RK73H1HTTC33R2F
34R,"Res, 34R Ohm, 33R2, 50mW, R0201",Yageo,RC0100FR-0734RL,Panasonic,ERJ-1GMF34R0C,Koa-Speer,RK73H1HTTC34R0F
34R8,"Res, 34R8 Ohm, 34R, 50mW, R0201",Yageo,RC0100FR-0734R8L,Panasonic,ERJ-1GMF34R8C,Koa-Speer,RK73H1HTTC34R8F
35R7,"Res, 35R7 Ohm, 34R8, 50mW, R0201",Yageo,RC0100FR-0735R7L,Panasonic,ERJ-1GMF35R7C,Koa-Speer,RK73H1HTTC35R7F
36R5,"Res, 36R5 Ohm, 35R7, 50mW, R0201",Yageo,RC0100FR-0736R5L,Panasonic,ERJ-1GMF36R5C,Koa-Speer,RK73H1HTTC36R5F
37R4,"Res, 37R4 Ohm, 36R5, 50mW, R0201",Yageo,RC0100FR-0737R4L,Panasonic,ERJ-1GMF37R4C,Koa-Speer,RK73H1HTTC37R4F
